,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
1972-04-21,,49.6,,,13.0,,,,,,,,,,,,
1972-04-22,,49.6,,,13.0,,,,,,,,,,,,
1972-04-23,,49.6,,,13.0,,,,,,,,,,,,
1972-04-24,,49.6,,,13.0,,,,,,,,,,,,
1972-04-25,,49.5,,,13.0,,,,,,,,,,,,
1972-04-26,,49.5,,,13.0,,,,,,,,,,,,
1972-04-27,,49.7,,,13.0,,,,,,,,,,,,
1972-04-28,,49.9,,,13.0,,,,,,,,,,,,
1972-04-29,,49.9,,,13.0,,,,,,,,,,,,
1972-04-30,,49.9,,,13.0,,,,,,,,,,,,
1972-05-01,,50.6,,,13.0,,,,,,,,,,,,
1972-05-02,,50.6,,,13.0,,,,,,,,,,,,
1972-05-03,,50.7,,,13.0,,,,,,,,,,,,
1972-05-04,,50.6,,,13.0,,,,,,,,,,,,
1972-05-05,,51.3,,,13.0,,,,,,,,,,,,
1972-05-06,,51.3,,,13.0,,,,,,,,,,,,
1972-05-07,,51.3,,,13.0,,,,,,,,,,,,
1972-05-08,,52.3,,,13.0,,,,,,,,,,,,
1972-05-09,,54.0,,,13.0,,,,,,,,,,,,
1972-05-10,,53.4,,,13.0,,,,,,,,,,,,
1972-05-11,,53.3,,,13.0,,,,,,,,,,,,
1972-05-12,,53.2,,,13.0,,,,,,,,,,,,
1972-05-13,,53.2,,,13.0,,,,,,,,,,,,
1972-05-14,,53.2,,,13.0,,,,,,,,,,,,
1972-05-15,,53.4,,,13.0,,,,,,,,,,,,
1972-05-16,,54.9,,,13.0,,,,,,,,,,,,
1972-05-17,,58.0,,,13.0,,,,,,,,,,,,
1972-05-18,,57.2,,,13.0,,,,,,,,,,,,
1972-05-19,,57.3,,,13.0,,,,,,,,,,,,
1972-05-20,,57.3,,,13.0,,,,,,,,,,,,
1972-05-21,,57.3,,,13.0,,,,,,,,,,,,
1972-05-22,,57.6,,,13.0,,,,,,,,,,,,
1972-05-23,,57.7,,,13.0,,,,,,,,,,,,
1972-05-24,,57.3,,,13.0,,,,,,,,,,,,
1972-05-25,,57.3,,,13.0,,,,,,,,,,,,
1972-05-26,,58.2,,,13.0,,,,,,,,,,,,
1972-05-27,,58.2,,,13.0,,,,,,,,,,,,
1972-05-28,,58.2,,,13.0,,,,,,,,,,,,
1972-05-29,,58.2,,,13.0,,,,,,,,,,,,
1972-05-30,,58.8,,,13.0,,,,,,,,,,,,
1972-05-31,,59.7,,,13.0,,,,,,,,,,,,
1972-06-01,,59.5,,,13.0,,,,,,,,,,,,
1972-06-02,,59.7,,,13.0,,,,,,,,,,,,
1972-06-03,,59.7,,,13.0,,,,,,,,,,,,
1972-06-04,,59.7,,,13.0,,,,,,,,,,,,
1972-06-05,,59.8,,,13.0,,,,,,,,,,,,
1972-06-06,,61.8,,,13.0,,,,,,,,,,,,
1972-06-07,,65.1,,,13.0,,,,,,,,,,,,
1972-06-08,,64.8,,,13.0,,,,,,,,,,,,
1972-06-09,,62.8,,,13.0,,,,,,,,,,,,
1972-06-10,,62.8,,,13.0,,,,,,,,,,,,
1972-06-11,,62.8,,,13.0,,,,,,,,,,,,
1972-06-12,,61.5,,,13.0,,,,,,,,,,,,
1972-06-13,,61.9,,,13.0,,,,,,,,,,,,
1972-06-14,,61.7,,,13.0,,,,,,,,,,,,
1972-06-15,,61.3,,,13.0,,,,,,,,,,,,
1972-06-16,,61.8,,,13.0,,,,,,,,,,,,
1972-06-17,,61.8,,,13.0,,,,,,,,,,,,
1972-06-18,,61.8,,,13.0,,,,,,,,,,,,
1972-06-19,,61.5,,,13.0,,,,,,,,,,,,
1972-06-20,,61.4,,,13.0,,,,,,,,,,,,
1972-06-21,,61.5,,,13.0,,,,,,,,,,,,
1972-06-22,,62.0,,,13.0,,,,,,,,,,,,
1972-06-23,,63.3,,,13.0,,,,,,,,,,,,
1972-06-24,,63.3,,,13.0,,,,,,,,,,,,
1972-06-25,,63.3,,,13.0,,,,,,,,,,,,
1972-06-26,,63.7,,,13.0,,,,,,,,,,,,
1972-06-27,,63.1,,,13.0,,,,,,,,,,,,
1972-06-28,,64.3,,,13.0,,,,,,,,,,,,
1972-06-29,,64.8,,,13.0,,,,,,,,,,,,
1972-06-30,,64.9,,,13.0,,,,,,,,,,,,
1972-07-01,,64.9,,,13.0,,,,,,,,,,,,
1972-07-02,,64.9,,,13.0,,,,,,,,,,,,
1972-07-03,,65.8,,,13.0,,,,,,,,,,,,
1972-07-04,,65.8,,,13.0,,,,,,,,,,,,
1972-07-05,,66.2,,,13.0,,,,,,,,,,,,
1972-07-06,,66.2,,,13.0,,,,,,,,,,,,
1972-07-07,,65.5,,,13.0,,,,,,,,,,,,
1972-07-08,,65.5,,,13.0,,,,,,,,,,,,
1972-07-09,,65.5,,,13.0,,,,,,,,,,,,
1972-07-10,,65.9,,,13.0,,,,,,,,,,,,
1972-07-11,,65.5,,,13.0,,,,,,,,,,,,
1972-07-12,,65.3,,,13.0,,,,,,,,,,,,
1972-07-13,,65.1,,,13.0,,,,,,,,,,,,
1972-07-14,,65.2,,,13.0,,,,,,,,,,,,
1972-07-15,,65.2,,,13.0,,,,,,,,,,,,
1972-07-16,,65.2,,,13.0,,,,,,,,,,,,
1972-07-17,,65.8,,,13.0,,,,,,,,,,,,
1972-07-18,,65.7,,,13.0,,,,,,,,,,,,
1972-07-19,,65.1,,,13.0,,,,,,,,,,,,
1972-07-20,,65.6,,,13.0,,,,,,,,,,,,
1972-07-21,,65.3,,,13.0,,,,,,,,,,,,
1972-07-22,,65.3,,,13.0,,,,,,,,,,,,
1972-07-23,,65.3,,,13.0,,,,,,,,,,,,
1972-07-24,,65.5,,,13.0,,,,,,,,,,,,
1972-07-25,,65.8,,,13.0,,,,,,,,,,,,
1972-07-26,,66.0,,,13.0,,,,,,,,,,,,
1972-07-27,,66.5,,,13.0,,,,,,,,,,,,
1972-07-28,,68.4,,,13.0,,,,,,,,,,,,
1972-07-29,,68.4,,,13.0,,,,,,,,,,,,
1972-07-30,,68.4,,,13.0,,,,,,,,,,,,
1972-07-31,,68.6,,,13.0,,,,,,,,,,,,
1972-08-01,,69.6,,,11.0,,,,,,,,,,,,
1972-08-02,,70.3,,,11.0,,,,,,,,,,,,
1972-08-03,,69.3,,,11.0,,,,,,,,,,,,
1972-08-04,,68.8,,,11.0,,,,,,,,,,,,
1972-08-05,,68.8,,,11.0,,,,,,,,,,,,
1972-08-06,,68.8,,,11.0,,,,,,,,,,,,
1972-08-07,,67.8,,,11.0,,,,,,,,,,,,
1972-08-08,,66.4,,,11.0,,,,,,,,,,,,
1972-08-09,,65.4,,,11.0,,,,,,,,,,,,
1972-08-10,,67.0,,,11.0,,,,,,,,,,,,
1972-08-11,,66.0,,,11.0,,,,,,,,,,,,
1972-08-12,,66.0,,,11.0,,,,,,,,,,,,
1972-08-13,,66.0,,,11.0,,,,,,,,,,,,
1972-08-14,,66.0,,,11.0,,,,,,,,,,,,
1972-08-15,,66.0,,,11.0,,,,,,,,,,,,
1972-08-16,,66.8,,,11.0,,,,,,,,,,,,
1972-08-17,,66.7,,,11.0,,,,,,,,,,,,
1972-08-18,,66.9,,,11.0,,,,,,,,,,,,
1972-08-19,,66.9,,,11.0,,,,,,,,,,,,
1972-08-20,,66.9,,,11.0,,,,,,,,,,,,
1972-08-21,,67.1,,,11.0,,,,,,,,,,,,
1972-08-22,,67.3,,,11.0,,,,,,,,,,,,
1972-08-23,,67.3,,,11.0,,,,,,,,,,,,
1972-08-24,,67.6,,,11.0,,,,,,,,,,,,
1972-08-25,,67.4,,,11.0,,,,,,,,,,,,
1972-08-26,,67.4,,,11.0,,,,,,,,,,,,
1972-08-27,,67.4,,,11.0,,,,,,,,,,,,
1972-08-28,,67.3,,,11.0,,,,,,,,,,,,
1972-08-29,,66.9,,,11.0,,,,,,,,,,,,
1972-08-30,,67.1,,,11.0,,,,,,,,,,,,
1972-08-31,,67.1,,,11.0,,,,,,,,,,,,
1972-09-01,,67.1,,,11.0,,,,,,,,,,,,
1972-09-02,,67.1,,,11.0,,,,,,,,,,,,
1972-09-03,,67.1,,,11.0,,,,,,,,,,,,
1972-09-04,,67.1,,,11.0,,,,,,,,,,,,
1972-09-05,,67.2,,,11.0,,,,,,,,,,,,
1972-09-06,,67.3,,,11.0,,,,,,,,,,,,
1972-09-07,,67.4,,,11.0,,,,,,,,,,,,
1972-09-08,,67.4,,,11.0,,,,,,,,,,,,
1972-09-09,,67.4,,,11.0,,,,,,,,,,,,
1972-09-10,,67.4,,,11.0,,,,,,,,,,,,
1972-09-11,,67.5,,,11.0,,,,,,,,,,,,
1972-09-12,,67.1,,,11.0,,,,,,,,,,,,
1972-09-13,,67.3,,,11.0,,,,,,,,,,,,
1972-09-14,,67.1,,,11.0,,,,,,,,,,,,
1972-09-15,,65.7,,,11.0,,,,,,,,,,,,
1972-09-16,,65.7,,,11.0,,,,,,,,,,,,
1972-09-17,,65.7,,,11.0,,,,,,,,,,,,
1972-09-18,,61.5,,,11.0,,,,,,,,,,,,
1972-09-19,,64.5,,,11.0,,,,,,,,,,,,
1972-09-20,,65.3,,,11.0,,,,,,,,,,,,
1972-09-21,,65.5,,,11.0,,,,,,,,,,,,
1972-09-22,,64.2,,,11.0,,,,,,,,,,,,
1972-09-23,,64.2,,,11.0,,,,,,,,,,,,
1972-09-24,,64.2,,,11.0,,,,,,,,,,,,
1972-09-25,,63.8,,,11.0,,,,,,,,,,,,
1972-09-26,,64.2,,,11.0,,,,,,,,,,,,
1972-09-27,,64.1,,,11.0,,,,,,,,,,,,
1972-09-28,,64.7,,,11.0,,,,,,,,,,,,
1972-09-29,,64.5,,,11.0,,,,,,,,,,,,
1972-09-30,,64.5,,,11.0,,,,,,,,,,,,
1972-10-01,,64.5,,,11.0,,,,,,,,,,,,
1972-10-02,,64.4,,,11.0,,,,,,,,,,,,
1972-10-03,,64.4,,,11.0,,,,,,,,,,,,
1972-10-04,,65.5,,,11.0,,,,,,,,,,,,
1972-10-05,,65.9,,,11.0,,,,,,,,,,,,
1972-10-06,,65.8,,,11.0,,,,,,,,,,,,
1972-10-07,,65.8,,,11.0,,,,,,,,,,,,
1972-10-08,,65.8,,,11.0,,,,,,,,,,,,
1972-10-09,,65.7,,,11.0,,,,,,,,,,,,
1972-10-10,,65.5,,,11.0,,,,,,,,,,,,
1972-10-11,,65.3,,,11.0,,,,,,,,,,,,
1972-10-12,,64.9,,,11.0,,,,,,,,,,,,
1972-10-13,,65.0,,,11.0,,,,,,,,,,,,
1972-10-14,,65.0,,,11.0,,,,,,,,,,,,
1972-10-15,,65.0,,,11.0,,,,,,,,,,,,
1972-10-16,,65.4,,,11.0,,,,,,,,,,,,
1972-10-17,,65.2,,,11.0,,,,,,,,,,,,
1972-10-18,,65.1,,,11.0,,,,,,,,,,,,
1972-10-19,,65.3,,,11.0,,,,,,,,,,,,
1972-10-20,,65.3,,,11.0,,,,,,,,,,,,
1972-10-21,,65.3,,,11.0,,,,,,,,,,,,
1972-10-22,,65.3,,,11.0,,,,,,,,,,,,
1972-10-23,,65.1,,,11.0,,,,,,,,,,,,
1972-10-24,,65.1,,,11.0,,,,,,,,,,,,
1972-10-25,,65.0,,,11.0,,,,,,,,,,,,
1972-10-26,,64.8,,,11.0,,,,,,,,,,,,
1972-10-27,,64.9,,,11.0,,,,,,,,,,,,
1972-10-28,,64.9,,,11.0,,,,,,,,,,,,
1972-10-29,,64.9,,,11.0,,,,,,,,,,,,
1972-10-30,,64.8,,,11.0,,,,,,,,,,,,
1972-10-31,,64.6,,,11.0,,,,,,,,,,,,
1972-11-01,,64.3,,,11.0,,,,,,,,,,,,
1972-11-02,,64.3,,,11.0,,,,,,,,,,,,
1972-11-03,,64.4,,,11.0,,,,,,,,,,,,
1972-11-04,,64.4,,,11.0,,,,,,,,,,,,
1972-11-05,,64.4,,,11.0,,,,,,,,,,,,
1972-11-06,,64.3,,,11.0,,,,,,,,,,,,
1972-11-07,,64.3,,,11.0,,,,,,,,,,,,
1972-11-08,,63.9,,,11.0,,,,,,,,,,,,
1972-11-09,,63.4,,,11.0,,,,,,,,,,,,
1972-11-10,,63.1,,,11.0,,,,,,,,,,,,
1972-11-11,,63.1,,,11.0,,,,,,,,,,,,
1972-11-12,,63.1,,,11.0,,,,,,,,,,,,
1972-11-13,,62.9,,,11.0,,,,,,,,,,,,
1972-11-14,,62.2,,,11.0,,,,,,,,,,,,
1972-11-15,,62.2,,,11.0,,,,,,,,,,,,
1972-11-16,,61.7,,,11.0,,,,,,,,,,,,
1972-11-17,,60.6,,,11.0,,,,,,,,,,,,
1972-11-18,,60.6,,,11.0,,,,,,,,,,,,
1972-11-19,,60.6,,,11.0,,,,,,,,,,,,
1972-11-20,,61.4,,,11.0,,,,,,,,,,,,
1972-11-21,,62.8,,,11.0,,,,,,,,,,,,
1972-11-22,,62.8,,,11.0,,,,,,,,,,,,
1972-11-23,,62.8,,,11.0,,,,,,,,,,,,
1972-11-24,,63.5,,,11.0,,,,,,,,,,,,
1972-11-25,,63.5,,,11.0,,,,,,,,,,,,
1972-11-26,,63.5,,,11.0,,,,,,,,,,,,
1972-11-27,,64.3,,,11.0,,,,,,,,,,,,
1972-11-28,,64.0,,,11.0,,,,,,,,,,,,
1972-11-29,,63.8,,,11.0,,,,,,,,,,,,
1972-11-30,,63.9,,,11.0,,,,,,,,,,,,
1972-12-01,,64.5,,,11.0,,,,,,,,,,,,
1972-12-02,,64.5,,,11.0,,,,,,,,,,,,
1972-12-03,,64.5,,,11.0,,,,,,,,,,,,
1972-12-04,,63.7,,,11.0,,,,,,,,,,,,
1972-12-05,,63.4,,,11.0,,,,,,,,,,,,
1972-12-06,,63.4,,,11.0,,,,,,,,,,,,
1972-12-07,,63.4,,,11.0,,,,,,,,,,,,
1972-12-08,,63.4,,,11.0,,,,,,,,,,,,
1972-12-09,,63.4,,,11.0,,,,,,,,,,,,
1972-12-10,,63.4,,,11.0,,,,,,,,,,,,
1972-12-11,,63.2,,,11.0,,,,,,,,,,,,
1972-12-12,,63.2,,,11.0,,,,,,,,,,,,
1972-12-13,,63.4,,,11.0,,,,,,,,,,,,
1972-12-14,,63.7,,,11.0,,,,,,,,,,,,
1972-12-15,,64.2,,,11.0,,,,,,,,,,,,
1972-12-16,,64.2,,,11.0,,,,,,,,,,,,
1972-12-17,,64.2,,,11.0,,,,,,,,,,,,
1972-12-18,,65.4,,,11.0,,,,,,,,,,,,
1972-12-19,,65.7,,,11.0,,,,,,,,,,,,
1972-12-20,,64.7,,,11.0,,,,,,,,,,,,
1972-12-21,,64.5,,,11.0,,,,,,,,,,,,
1972-12-22,,64.5,,,11.0,,,,,,,,,,,,
1972-12-23,,64.5,,,11.0,,,,,,,,,,,,
1972-12-24,,64.5,,,11.0,,,,,,,,,,,,
1972-12-25,,64.5,,,11.0,,,,,,,,,,,,
1972-12-26,,64.5,,,11.0,,,,,,,,,,,,
1972-12-27,,64.9,,,11.0,,,,,,,,,,,,
1972-12-28,,65.1,,,11.0,,,,,,,,,,,,
1972-12-29,,65.2,,,11.0,,,,,,,,,,,,
1972-12-30,,65.2,,,11.0,,,,,,,,,,,,
1972-12-31,,65.2,,,11.0,,,,,,,,,,,,
1973-01-01,,65.2,,,11.0,,,,,,,,,,,,
1973-01-02,,65.4,,,11.0,,,,,,,,,,,,
1973-01-03,,65.6,,,11.0,,,,,,,,,,,,
1973-01-04,,65.2,,,11.0,,,,,,,,,,,,
1973-01-05,,65.5,,,11.0,,,,,,,,,,,,
1973-01-06,,65.5,,,11.0,,,,,,,,,,,,
1973-01-07,,65.5,,,11.0,,,,,,,,,,,,
1973-01-08,,65.4,,,11.0,,,,,,,,,,,,
1973-01-09,,65.4,,,11.0,,,,,,,,,,,,
1973-01-10,,65.3,,,11.0,,,,,,,,,,,,
1973-01-11,,65.3,,,11.0,,,,,,,,,,,,
1973-01-12,,65.4,,,11.0,,,,,,,,,,,,
1973-01-13,,65.4,,,11.0,,,,,,,,,,,,
1973-01-14,,65.4,,,11.0,,,,,,,,,,,,
1973-01-15,,65.4,,,11.0,,,,,,,,,,,,
1973-01-16,,65.4,,,11.0,,,,,,,,,,,,
1973-01-17,,64.9,,,11.0,,,,,,,,,,,,
1973-01-18,,64.2,,,11.0,,,,,,,,,,,,
1973-01-19,,64.8,,,11.0,,,,,,,,,,,,
1973-01-20,,64.8,,,11.0,,,,,,,,,,,,
1973-01-21,,64.8,,,11.0,,,,,,,,,,,,
1973-01-22,,65.5,,,11.0,,,,,,,,,,,,
1973-01-23,,65.5,,,11.0,,,,,,,,,,,,
1973-01-24,,65.9,,,11.0,,,,,,,,,,,,
1973-01-25,,65.8,,,11.0,,,,,,,,,,,,
1973-01-26,,65.8,,,11.0,,,,,,,,,,,,
1973-01-27,,65.8,,,11.0,,,,,,,,,,,,
1973-01-28,,65.8,,,11.0,,,,,,,,,,,,
1973-01-29,,65.6,,,11.0,,,,,,,,,,,,
1973-01-30,,66.3,,,11.0,,,,,,,,,,,,
1973-01-31,,66.3,,,11.0,,,,,,,,,,,,
1973-02-01,,66.9,,,11.0,,,,,,,,,,,,
1973-02-02,,67.2,,,11.0,,,,,,,,,,,,
1973-02-03,,67.2,,,11.0,,,,,,,,,,,,
1973-02-04,,67.2,,,11.0,,,,,,,,,,,,
1973-02-05,,67.9,,,11.0,,,,,,,,,,,,
1973-02-06,,69.1,,,11.0,,,,,,,,,,,,
1973-02-07,,68.9,,,11.0,,,,,,,,,,,,
1973-02-08,,69.3,,,11.0,,,,,,,,,,,,
1973-02-09,,68.4,,,11.0,,,,,,,,,,,,
1973-02-10,,68.4,,,11.0,,,,,,,,,,,,
1973-02-11,,68.4,,,11.0,,,,,,,,,,,,
1973-02-12,,68.8,,,11.0,,,,,,,,,,,,
1973-02-13,,69.2,,,11.0,,,,,,,,,,,,
1973-02-14,,72.6,,,11.0,,,,,,,,,,,,
1973-02-15,,73.9,,,11.0,,,,,,,,,,,,
1973-02-16,,73.6,,,11.0,,,,,,,,,,,,
1973-02-17,,73.6,,,11.0,,,,,,,,,,,,
1973-02-18,,73.6,,,11.0,,,,,,,,,,,,
1973-02-19,,73.6,,,11.0,,,,,,,,,,,,
1973-02-20,,76.8,,,11.0,,,,,,,,,,,,
1973-02-21,,79.6,,,11.0,,,,,,,,,,,,
1973-02-22,,86.8,,,11.0,,,,,,,,,,,,
1973-02-23,,85.3,,,11.0,,,,,,,,,,,,
1973-02-24,,85.3,,,11.0,,,,,,,,,,,,
1973-02-25,,85.3,,,11.0,,,,,,,,,,,,
1973-02-26,,81.0,,,11.0,,,,,,,,,,,,
1973-02-27,,84.0,,,11.0,,,,,,,,,,,,
1973-02-28,,85.3,,,11.0,,,,,,,,,,,,
1973-03-01,,86.0,,,11.0,,,,,,,,,,,,
1973-03-02,,86.3,,,11.0,,,,,,,,,,,,
1973-03-03,,86.3,,,11.0,,,,,,,,,,,,
1973-03-04,,86.3,,,11.0,,,,,,,,,,,,
1973-03-05,,84.3,,,11.0,,,,,,,,,,,,
1973-03-06,,83.3,,,11.0,,,,,,,,,,,,
1973-03-07,,82.8,,,11.0,,,,,,,,,,,,
1973-03-08,,84.0,,,11.0,,,,,,,,,,,,
1973-03-09,,83.1,,,11.0,,,,,,,,,,,,
1973-03-10,,83.1,,,11.0,,,,,,,,,,,,
1973-03-11,,83.1,,,11.0,,,,,,,,,,,,
1973-03-12,,82.8,,,11.0,,,,,,,,,,,,
1973-03-13,,80.3,,,11.0,,,,,,,,,,,,
1973-03-14,,80.3,,,11.0,,,,,,,,,,,,
1973-03-15,,83.0,,,11.0,,,,,,,,,,,,
1973-03-16,,83.0,,,11.0,,,,,,,,,,,,
1973-03-17,,83.0,,,11.0,,,,,,,,,,,,
1973-03-18,,83.0,,,11.0,,,,,,,,,,,,
1973-03-19,,82.5,,,11.0,,,,,,,,,,,,
1973-03-20,,82.5,,,11.0,,,,,,,,,,,,
1973-03-21,,81.9,,,11.0,,,,,,,,,,,,
1973-03-22,,82.0,,,11.0,,,,,,,,,,,,
1973-03-23,,84.8,,,11.0,,,,,,,,,,,,
1973-03-24,,84.8,,,11.0,,,,,,,,,,,,
1973-03-25,,84.8,,,11.0,,,,,,,,,,,,
1973-03-26,,90.3,,,11.0,,,,,,,,,,,,
1973-03-27,,90.3,,,11.0,,,,,,,,,,,,
1973-03-28,,88.8,,,11.0,,,,,,,,,,,,
1973-03-29,,89.5,,,11.0,,,,,,,,,,,,
1973-03-30,,90.3,,,11.0,,,,,,,,,,,,
1973-03-31,,90.3,,,11.0,,,,,,,,,,,,
1973-04-01,,90.3,,,11.0,,,,,,,,,,,,
1973-04-02,,89.5,,,11.0,,,,,,,,,,,,
1973-04-03,,90.3,,,11.0,,,,,,,,,,,,
1973-04-04,,90.5,,,11.0,,,,,,,,,,,,
1973-04-05,,91.2,,,11.0,,,,,,,,,,,,
1973-04-06,,91.0,,,11.0,,,,,,,,,,,,
1973-04-07,,91.0,,,11.0,,,,,,,,,,,,
1973-04-08,,91.0,,,11.0,,,,,,,,,,,,
1973-04-09,,91.3,,,11.0,,,,,,,,,,,,
1973-04-10,,91.3,,,11.0,,,,,,,,,,,,
1973-04-11,,91.5,,,11.0,,,,,,,,,,,,
1973-04-12,,91.2,,,11.0,,,,,,,,,,,,
1973-04-13,,90.3,,,11.0,,,,,,,,,,,,
1973-04-14,,90.3,,,11.0,,,,,,,,,,,,
1973-04-15,,90.3,,,11.0,,,,,,,,,,,,
1973-04-16,,89.6,,,11.0,,,,,,,,,,,,
1973-04-17,,90.5,,,11.0,,,,,,,,,,,,
1973-04-18,,91.3,,,11.0,,,,,,,,,,,,
1973-04-19,,91.0,,,11.0,,,,,,,,,,,,
1973-04-20,,91.0,,,11.0,,,,,,,,,,,,
1973-04-21,,91.0,,,11.0,,,,,,,,,,,,
1973-04-22,,91.0,,,11.0,,,,,,,,,,,,
1973-04-23,,91.0,,,11.0,,,,,,,,,,,,
1973-04-24,,91.1,,,11.0,,,,,,,,,,,,
1973-04-25,,90.4,,,11.0,,,,,,,,,,,,
1973-04-26,,90.8,,,11.0,,,,,,,,,,,,
1973-04-27,,90.9,,,11.0,,,,,,,,,,,,
1973-04-28,,90.9,,,11.0,,,,,,,,,,,,
1973-04-29,,90.9,,,11.0,,,,,,,,,,,,
1973-04-30,,91.0,,,11.0,,,,,,,,,,,,
1973-05-01,,91.0,,,11.0,,,,,,,,,,,,
1973-05-02,,90.9,,,11.0,,,,,,,,,,,,
1973-05-03,,90.6,,,11.0,,,,,,,,,,,,
1973-05-04,,90.6,,,11.0,,,,,,,,,,,,
1973-05-05,,90.6,,,11.0,,,,,,,,,,,,
1973-05-06,,90.6,,,11.0,,,,,,,,,,,,
1973-05-07,,90.6,,,11.0,,,,,,,,,,,,
1973-05-08,,91.7,,,11.0,,,,,,,,,,,,
1973-05-09,,93.0,,,11.0,,,,,,,,,,,,
1973-05-10,,95.1,,,11.0,,,,,,,,,,,,
1973-05-11,,97.0,,,11.0,,,,,,,,,,,,
1973-05-12,,97.0,,,11.0,,,,,,,,,,,,
1973-05-13,,97.0,,,11.0,,,,,,,,,,,,
1973-05-14,,102.5,,,11.0,,,,,,,,,,,,
1973-05-15,,110.3,,,11.0,,,,,,,,,,,,
1973-05-16,,106.8,,,11.0,,,,,,,,,,,,
1973-05-17,,104.5,,,11.0,,,,,,,,,,,,
1973-05-18,,105.8,,,11.0,,,,,,,,,,,,
1973-05-19,,105.8,,,11.0,,,,,,,,,,,,
1973-05-20,,105.8,,,11.0,,,,,,,,,,,,
1973-05-21,,112.3,,,11.0,,,,,,,,,,,,
1973-05-22,,110.8,,,11.0,,,,,,,,,,,,
1973-05-23,,110.0,,,11.0,,,,,,,,,,,,
1973-05-24,,110.3,,,11.0,,,,,,,,,,,,
1973-05-25,,106.8,,,11.0,,,,,,,,,,,,
1973-05-26,,106.8,,,11.0,,,,,,,,,,,,
1973-05-27,,106.8,,,11.0,,,,,,,,,,,,
1973-05-28,,106.8,,,11.0,,,,,,,,,,,,
1973-05-29,,110.3,,,11.0,,,,,,,,,,,,
1973-05-30,,113.5,,,11.0,,,,,,,,,,,,
1973-05-31,,115.0,,,11.0,,,,,,,,,,,,
1973-06-01,,118.0,,,11.0,,,,,,,,,,,,
1973-06-02,,118.0,,,11.0,,,,,,,,,,,,
1973-06-03,,118.0,,,11.0,,,,,,,,,,,,
1973-06-04,,123.8,,,11.0,,,,,,,,,,,,
1973-06-05,,126.3,,,11.0,,,,,,,,,,,,
1973-06-06,,121.8,,,11.0,,,,,,,,,,,,
1973-06-07,,118.8,,,11.0,,,,,,,,,,,,
1973-06-08,,117.5,,,11.0,,,,,,,,,,,,
1973-06-09,,117.5,,,11.0,,,,,,,,,,,,
1973-06-10,,117.5,,,11.0,,,,,,,,,,,,
1973-06-11,,115.8,,,11.0,,,,,,,,,,,,
1973-06-12,,117.5,,,11.0,,,,,,,,,,,,
1973-06-13,,115.8,,,11.0,,,,,,,,,,,,
1973-06-14,,118.0,,,11.0,,,,,,,,,,,,
1973-06-15,,120.3,,,11.0,,,,,,,,,,,,
1973-06-16,,120.3,,,11.0,,,,,,,,,,,,
1973-06-17,,120.3,,,11.0,,,,,,,,,,,,
1973-06-18,,122.8,,,11.0,,,,,,,,,,,,
1973-06-19,,120.5,,,11.0,,,,,,,,,,,,
1973-06-20,,120.3,,,11.0,,,,,,,,,,,,
1973-06-21,,120.8,,,11.0,,,,,,,,,,,,
1973-06-22,,120.3,,,11.0,,,,,,,,,,,,
1973-06-23,,120.3,,,11.0,,,,,,,,,,,,
1973-06-24,,120.3,,,11.0,,,,,,,,,,,,
1973-06-25,,118.8,,,11.0,,,,,,,,,,,,
1973-06-26,,123.5,,,11.0,,,,,,,,,,,,
1973-06-27,,122.5,,,11.0,,,,,,,,,,,,
1973-06-28,,121.8,,,11.0,,,,,,,,,,,,
1973-06-29,,123.5,,,11.0,,,,,,,,,,,,
1973-06-30,,123.5,,,11.0,,,,,,,,,,,,
1973-07-01,,123.5,,,11.0,,,,,,,,,,,,
1973-07-02,,121.3,,,11.0,,,,,,,,,,,,
1973-07-03,,122.3,,,11.0,,,,,,,,,,,,
1973-07-04,,122.3,,,11.0,,,,,,,,,,,,
1973-07-05,,123.3,,,11.0,,,,,,,,,,,,
1973-07-06,,124.8,,,11.0,,,,,,,,,,,,
1973-07-07,,124.8,,,11.0,,,,,,,,,,,,
1973-07-08,,124.8,,,11.0,,,,,,,,,,,,
1973-07-09,,126.3,,,11.0,,,,,,,,,,,,
1973-07-10,,123.3,,,11.0,,,,,,,,,,,,
1973-07-11,,119.3,,,11.0,,,,,,,,,,,,
1973-07-12,,121.3,,,11.0,,,,,,,,,,,,
1973-07-13,,121.3,,,11.0,,,,,,,,,,,,
1973-07-14,,121.3,,,11.0,,,,,,,,,,,,
1973-07-15,,121.3,,,11.0,,,,,,,,,,,,
1973-07-16,,120.2,,,11.0,,,,,,,,,,,,
1973-07-17,,121.3,,,11.0,,,,,,,,,,,,
1973-07-18,,119.8,,,11.0,,,,,,,,,,,,
1973-07-19,,114.5,,,11.0,,,,,,,,,,,,
1973-07-20,,118.0,,,11.0,,,,,,,,,,,,
1973-07-21,,118.0,,,11.0,,,,,,,,,,,,
1973-07-22,,118.0,,,11.0,,,,,,,,,,,,
1973-07-23,,119.0,,,11.0,,,,,,,,,,,,
1973-07-24,,120.2,,,11.0,,,,,,,,,,,,
1973-07-25,,118.8,,,11.0,,,,,,,,,,,,
1973-07-26,,119.8,,,11.0,,,,,,,,,,,,
1973-07-27,,117.3,,,11.0,,,,,,,,,,,,
