,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
2015-04-13,1100.41,1199.300048828125,42430.008414839394,92.6684,0.75,2.177,0.12,1.94,1.427,,11965.800000000001,236.222,241.346,0.8540309893939106,2092.429931640625,21285.013671875,224.58700561523438
2015-04-14,1090.76,1192.800048828125,41829.97351615624,91.8438,0.75,2.177,0.12,1.94,1.427,,11966.733333333334,236.222,241.346,0.8540309893939106,2095.840087890625,21385.25,219.15899658203125
2015-04-15,1095.07,1201.5,42301.56107833523,91.9237,0.75,2.177,0.12,1.94,1.427,,11967.666666666668,236.222,241.346,0.8540309893939106,2106.6298828125,21497.50390625,223.83299255371094
2015-04-16,1086.89,1198.0,41863.27004999438,90.8353,0.75,2.177,0.12,1.94,1.427,,11968.6,236.222,241.346,0.8540309893939106,2104.989990234375,21653.861328125,228.572998046875
2015-04-17,1081.99,1202.9000244140625,41844.99485317638,90.7097,0.75,2.177,0.12,1.94,1.427,,11969.533333333333,236.222,241.346,0.8540309893939106,2081.179931640625,21669.90625,222.8820037841797
2015-04-18,1081.99,1202.9000244140625,41844.99485317638,90.7097,0.75,2.177,0.12,1.94,1.427,,11970.466666666667,236.222,241.346,0.8540309893939106,2081.179931640625,21669.90625,223.3560028076172
2015-04-19,1081.99,1202.9000244140625,41844.99485317638,90.7097,0.75,2.177,0.12,1.94,1.427,,11971.4,236.222,241.346,0.8540309893939106,2081.179931640625,21669.90625,222.60000610351562
2015-04-20,1081.27,1193.5,41490.37069783143,90.7896,0.75,2.177,0.12,1.94,1.427,,11972.333333333334,236.222,241.346,0.8540309893939106,2100.39990234375,21657.869140625,224.62600708007812
2015-04-21,1081.54,1202.9000244140625,41827.591505932935,90.9402,0.75,2.177,0.12,1.94,1.427,,11973.266666666666,236.222,241.346,0.8540309893939106,2097.2900390625,21637.822265625,235.2689971923828
2015-04-22,1080.64,1186.9000244140625,41236.89110173494,91.0597,0.75,2.177,0.12,1.94,1.427,,11974.2,236.222,241.346,0.8540309893939106,2107.9599609375,21738.056640625,234.17599487304688
2015-04-23,1080.0,1194.4000244140625,41472.88975090223,90.5004,0.75,2.177,0.12,1.94,1.427,,11975.133333333333,236.222,241.346,0.8540309893939106,2112.929931640625,22050.775390625,236.46200561523438
2015-04-24,1075.85,1175.199951171875,40649.40818455356,90.1308,0.75,2.177,0.12,1.94,1.427,,11976.066666666668,236.222,241.346,0.8540309893939106,2117.68994140625,21910.455078125,231.26800537109375
2015-04-25,1075.85,1175.199951171875,40649.40818455356,90.1308,0.75,2.177,0.12,1.94,1.427,,11977.0,236.222,241.346,0.8540309893939106,2117.68994140625,21910.455078125,226.38999938964844
2015-04-26,1075.85,1175.199951171875,40649.40818455356,90.1308,0.75,2.177,0.12,1.94,1.427,,11977.933333333334,236.222,241.346,0.8540309893939106,2117.68994140625,21910.455078125,219.42999267578125
